st_zip,ed_zip,distance
10010,10032,17358
10010,10033,15227
10010,10034,17071
10010,10035,10705
10010,10036,4475
10010,10037,11079
10010,10038,10203
10010,10039,13505
10010,10040,17179
10010,10044,7656
10010,10065,3834
10010,10069,6628
10010,10075,3709
10010,10128,8094
10010,10280,8249
10010,10282,8766
10010,10301,29118
10010,10302,33552
10010,10303,34040
10010,10304,25539
10010,10305,24643
10010,10306,33167
10010,10307,49588
10010,10308,37141
10010,10309,44830
10010,10310,28939
10010,10312,42920
10010,10314,31716
10010,10451,12728
10010,10452,14389
10010,10453,17464
10010,10454,11174
10010,10455,13425
10010,10456,14261
10010,10457,17845
10010,10458,23138
10010,10459,16301
10010,10460,17215
10010,10461,21482
10010,10462,19542
10010,10463,19488
10010,10464,27251
10010,10465,20709
10010,10466,24838
10010,10467,21797
10010,10468,18448
10010,10469,25540
10010,10471,24625
10010,10472,17112
10010,10473,17284
10010,10474,16142
10010,10475,25161
10010,11101,5504
10010,11102,7914
10010,11103,8498
10010,11104,6730
10010,11105,14086
10010,11106,7238
10010,11201,8855
10010,11203,19678
10010,11204,19731
10010,11205,7209
10010,11206,6978
10010,11207,26301
10010,11208,19423
10010,11209,19663
10010,11210,20136
10010,11211,5655
10010,11212,13499
10010,11213,11214
10010,11214,25682
10010,11215,13620
10010,11216,8789
10010,11217,7037
10010,11218,16039
10010,11219,17780
10010,11220,17897
10010,11221,8773
10010,11222,6235
10010,11223,21600
10010,11224,27312
10010,11225,10178
10010,11226,17665
10010,11228,20069
10010,11229,22714
10010,11230,18624
10010,11231,12162
10010,11232,15471
10010,11233,10946
10010,11234,37613
10010,11235,29180
10010,11236,41120
10010,11237,11747
10010,11238,8157
10010,11239,31495
10010,11354,18274
10010,11355,16963
10010,11356,20377
10010,11357,21570
10010,11358,20950
10010,11360,24937
10010,11361,23409
10010,11362,24317
10010,11363,25776
10010,11364,22067
10010,11365,18523
10010,11367,17970
10010,11368,14566
10010,11369,14114
10010,11370,12262
10010,11372,11598
10010,11373,12296
10010,11374,12304
10010,11375,13668
10010,11377,9407
10010,11378,8841
10010,11379,13105
10010,11385,11185
